0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.85;0.32;0.98
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.64;0.08;0.18
0.64;0.08;0.18
0.64;0.08;0.18
0.64;0.08;0.18
0.64;0.08;0.18
0.64;0.08;0.18
0.64;0.08;0.18
0.64;0.08;0.18
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.93;0.69;0.12
0.85;0.32;0.98
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0.46;0.67;0.18
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
0;0.45;0.74
